,Libellé de commune,Code géographique,Libellé géographique,EPCI - Métropole,Libellé de l'EPCI / Métropole,Département,Région,75 ans et plus 1968,75 ans et plus 1975,75 ans et plus 1982,75 ans et plus 1990,75 ans et plus 1999,75 ans et plus 2009,75 ans et plus 2014,75 ans et plus 2020
0,L'Abergement-Clémenciat,01001,L'Abergement-Clémenciat,200069193,Communauté de communes de la Dombes,1,84,4.0,5.0,16.0,24.0,28.0,32.0,65.0,61.0
1,L'Abergement-de-Varey,01002,L'Abergement-de-Varey,240100883,Communauté de communes de la Plaine de l'Ain,1,84,8.0,25.0,0.0,24.0,24.0,33.0,25.0,16.0
2,Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey,240100883,Communauté de communes de la Plaine de l'Ain,1,84,352.0,355.0,536.0,716.0,808.0,1072.0,1159.0,1300.0
3,Ambérieux-en-Dombes,01005,Ambérieux-en-Dombes,200042497,Communauté de communes Dombes Saône Vallée,1,84,28.0,20.0,64.0,116.0,68.0,108.0,100.0,150.0
4,Ambléon,01006,Ambléon,200040350,Communauté de communes Bugey Sud,1,84,4.0,20.0,4.0,0.0,8.0,12.0,15.0,10.0
5,Ambronay,01007,Ambronay,240100883,Communauté de communes de la Plaine de l'Ain,1,84,44.0,45.0,56.0,76.0,124.0,152.0,180.0,195.0
6,Ambutrix,01008,Ambutrix,240100883,Communauté de communes de la Plaine de l'Ain,1,84,24.0,5.0,8.0,12.0,28.0,24.0,24.0,36.0
7,Andert-et-Condon,01009,Andert-et-Condon,200040350,Communauté de communes Bugey Sud,1,84,16.0,10.0,16.0,20.0,16.0,4.0,24.0,41.0
8,Anglefort,01010,Anglefort,200070852,Communauté de communes Usses et Rhône,1,84,20.0,25.0,52.0,40.0,72.0,71.0,52.0,83.0
9,Apremont,01011,Apremont,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,0.0,16.0,8.0,8.0,4.0,20.0,25.0
10,Aranc,01012,Aranc,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,28.0,30.0,12.0,40.0,32.0,58.0,54.0,40.0
11,Arandas,01013,Arandas,240100883,Communauté de communes de la Plaine de l'Ain,1,84,8.0,15.0,16.0,20.0,4.0,29.0,12.0,5.0
12,Arbent,01014,Arbent,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,24.0,30.0,72.0,92.0,136.0,183.0,245.0,270.0
13,Arboys en Bugey,01015,Arboys en Bugey,200040350,Communauté de communes Bugey Sud,1,84,20.0,40.0,32.0,24.0,16.0,32.0,60.0,73.0
14,Arbigny,01016,Arbigny,200071371,Communauté de communes Bresse et Saône,1,84,16.0,20.0,28.0,36.0,48.0,36.0,40.0,35.0
15,Argis,01017,Argis,240100883,Communauté de communes de la Plaine de l'Ain,1,84,40.0,70.0,40.0,28.0,36.0,36.0,25.0,49.0
16,Armix,01019,Armix,200040350,Communauté de communes Bugey Sud,1,84,8.0,10.0,4.0,12.0,0.0,0.0,0.0,0.0
17,Ars-sur-Formans,01021,Ars-sur-Formans,200042497,Communauté de communes Dombes Saône Vallée,1,84,8.0,25.0,40.0,52.0,40.0,53.0,76.0,64.0
18,Artemare,01022,Artemare,200040350,Communauté de communes Bugey Sud,1,84,52.0,45.0,48.0,92.0,72.0,141.0,118.0,152.0
19,Asnières-sur-Saône,01023,Asnières-sur-Saône,200071371,Communauté de communes Bresse et Saône,1,84,8.0,0.0,4.0,20.0,12.0,12.0,5.0,0.0
20,Attignat,01024,Attignat,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,36.0,65.0,92.0,120.0,88.0,142.0,165.0,234.0
21,Bâgé-Dommartin,01025,Bâgé-Dommartin,200071371,Communauté de communes Bresse et Saône,1,84,60.0,30.0,120.0,104.0,88.0,116.0,110.0,213.0
22,Bâgé-le-Châtel,01026,Bâgé-le-Châtel,200071371,Communauté de communes Bresse et Saône,1,84,56.0,75.0,96.0,84.0,92.0,132.0,144.0,140.0
23,Balan,01027,Balan,240100610,Communauté de communes de la Côtière à Montluel,1,84,24.0,5.0,24.0,36.0,44.0,36.0,56.0,41.0
24,Baneins,01028,Baneins,200069193,Communauté de communes de la Dombes,1,84,28.0,20.0,24.0,20.0,8.0,16.0,40.0,25.0
25,Beaupont,01029,Beaupont,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,20.0,45.0,36.0,44.0,40.0,31.0,24.0,35.0
26,Beauregard,01030,Beauregard,200042497,Communauté de communes Dombes Saône Vallée,1,84,4.0,15.0,20.0,32.0,20.0,60.0,50.0,40.0
27,Bellignat,01031,Bellignat,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,32.0,65.0,56.0,72.0,88.0,154.0,230.0,225.0
28,Béligneux,01032,Béligneux,240100610,Communauté de communes de la Côtière à Montluel,1,84,16.0,40.0,52.0,72.0,60.0,111.0,188.0,186.0
29,Valserhône,01033,Valserhône,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,260.0,460.0,648.0,632.0,864.0,1099.0,1098.0,1155.0
30,Belley,01034,Belley,200040350,Communauté de communes Bugey Sud,1,84,368.0,415.0,524.0,704.0,808.0,1046.0,1118.0,1238.0
31,Belleydoux,01035,Belleydoux,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,16.0,25.0,24.0,24.0,16.0,32.0,20.0,45.0
32,Valromey-sur-Séran,01036,Valromey-sur-Séran,200040350,Communauté de communes Bugey Sud,1,84,40.0,25.0,40.0,56.0,28.0,42.0,28.0,185.0
33,Bénonces,01037,Bénonces,240100883,Communauté de communes de la Plaine de l'Ain,1,84,8.0,25.0,28.0,48.0,24.0,24.0,24.0,53.0
34,Bény,01038,Bény,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,36.0,10.0,36.0,72.0,44.0,56.0,78.0,49.0
35,Béréziat,01040,Béréziat,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,24.0,15.0,32.0,44.0,20.0,22.0,30.0,40.0
36,Bettant,01041,Bettant,240100883,Communauté de communes de la Plaine de l'Ain,1,84,20.0,55.0,60.0,52.0,20.0,60.0,64.0,75.0
37,Bey,01042,Bey,200070555,Communauté de communes de la Veyle,1,84,20.0,0.0,16.0,8.0,12.0,16.0,10.0,32.0
38,Beynost,01043,Beynost,240100800,Communauté de communes de Miribel et du Plateau,1,84,84.0,110.0,128.0,184.0,192.0,280.0,420.0,457.0
39,Billiat,01044,Billiat,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,4.0,0.0,20.0,24.0,36.0,12.0,16.0,50.0
40,Birieux,01045,Birieux,200069193,Communauté de communes de la Dombes,1,84,0.0,0.0,12.0,0.0,12.0,20.0,20.0,10.0
41,Biziat,01046,Biziat,200070555,Communauté de communes de la Veyle,1,84,24.0,35.0,36.0,44.0,24.0,65.0,80.0,64.0
42,Blyes,01047,Blyes,240100883,Communauté de communes de la Plaine de l'Ain,1,84,12.0,5.0,24.0,20.0,20.0,36.0,25.0,40.0
43,La Boisse,01049,La Boisse,240100610,Communauté de communes de la Côtière à Montluel,1,84,28.0,90.0,100.0,76.0,76.0,144.0,182.0,180.0
44,Boissey,01050,Boissey,200071371,Communauté de communes Bresse et Saône,1,84,4.0,10.0,24.0,24.0,24.0,37.0,35.0,15.0
45,Bolozon,01051,Bolozon,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,10.0,28.0,12.0,8.0,4.0,4.0,0.0
46,Bouligneux,01052,Bouligneux,200069193,Communauté de communes de la Dombes,1,84,16.0,10.0,20.0,12.0,20.0,4.0,4.0,15.0
47,Bourg-en-Bresse,01053,Bourg-en-Bresse,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,1328.0,1765.0,2080.0,2632.0,3191.0,4500.0,4716.0,4822.0
48,Bourg-Saint-Christophe,01054,Bourg-Saint-Christophe,240100883,Communauté de communes de la Plaine de l'Ain,1,84,12.0,20.0,40.0,36.0,32.0,62.0,88.0,60.0
49,Boyeux-Saint-Jérôme,01056,Boyeux-Saint-Jérôme,200029999,Communauté de communes Rives de l'Ain - Pays du Cerdon,1,84,8.0,15.0,36.0,32.0,12.0,28.0,32.0,15.0
50,Boz,01057,Boz,200071371,Communauté de communes Bresse et Saône,1,84,32.0,25.0,28.0,56.0,40.0,44.0,5.0,55.0
51,Brégnier-Cordon,01058,Brégnier-Cordon,200040350,Communauté de communes Bugey Sud,1,84,28.0,25.0,44.0,48.0,48.0,62.0,60.0,55.0
52,Brénod,01060,Brénod,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,36.0,10.0,36.0,20.0,40.0,78.0,84.0,37.0
53,Brens,01061,Brens,200040350,Communauté de communes Bugey Sud,1,84,24.0,40.0,40.0,36.0,48.0,37.0,55.0,80.0
54,Bressolles,01062,Bressolles,240100610,Communauté de communes de la Côtière à Montluel,1,84,20.0,15.0,20.0,12.0,24.0,36.0,56.0,62.0
55,Brion,01063,Brion,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,12.0,5.0,16.0,32.0,16.0,36.0,45.0,59.0
56,Briord,01064,Briord,240100883,Communauté de communes de la Plaine de l'Ain,1,84,64.0,20.0,40.0,16.0,20.0,40.0,54.0,25.0
57,Buellas,01065,Buellas,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,28.0,15.0,28.0,52.0,56.0,104.0,100.0,155.0
58,La Burbanche,01066,La Burbanche,200040350,Communauté de communes Bugey Sud,1,84,4.0,0.0,4.0,16.0,0.0,4.0,20.0,0.0
59,Ceignes,01067,Ceignes,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,15.0,8.0,12.0,16.0,20.0,20.0,15.0
60,Cerdon,01068,Cerdon,200029999,Communauté de communes Rives de l'Ain - Pays du Cerdon,1,84,52.0,75.0,92.0,88.0,96.0,97.0,105.0,115.0
61,Certines,01069,Certines,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,28.0,20.0,36.0,24.0,44.0,40.0,36.0,44.0
62,Cessy,01071,Cessy,240100750,Communauté d'agglomération du Pays de Gex,1,84,8.0,40.0,28.0,56.0,54.0,133.0,117.0,146.0
63,Ceyzériat,01072,Ceyzériat,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,60.0,65.0,52.0,108.0,188.0,297.0,253.0,314.0
64,Ceyzérieu,01073,Ceyzérieu,200040350,Communauté de communes Bugey Sud,1,84,36.0,35.0,56.0,80.0,96.0,121.0,76.0,91.0
65,Chalamont,01074,Chalamont,200069193,Communauté de communes de la Dombes,1,84,76.0,135.0,116.0,116.0,156.0,182.0,265.0,253.0
66,Chaleins,01075,Chaleins,200070118,Communauté de communes Val de Saône Centre,1,84,8.0,20.0,32.0,32.0,44.0,40.0,54.0,45.0
67,Chaley,01076,Chaley,240100883,Communauté de communes de la Plaine de l'Ain,1,84,32.0,15.0,12.0,20.0,20.0,36.0,12.0,10.0
68,Challes-la-Montagne,01077,Challes-la-Montagne,200029999,Communauté de communes Rives de l'Ain - Pays du Cerdon,1,84,8.0,10.0,8.0,8.0,12.0,45.0,10.0,15.0
69,Challex,01078,Challex,240100750,Communauté d'agglomération du Pays de Gex,1,84,20.0,25.0,52.0,40.0,88.0,90.0,110.0,155.0
70,Champagne-en-Valromey,01079,Champagne-en-Valromey,200040350,Communauté de communes Bugey Sud,1,84,56.0,70.0,112.0,112.0,104.0,148.0,165.0,125.0
71,Champdor-Corcelles,01080,Champdor-Corcelles,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,24.0,15.0,8.0,44.0,12.0,33.0,62.0,45.0
72,Champfromier,01081,Champfromier,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,40.0,40.0,16.0,12.0,52.0,20.0,35.0,90.0
73,Chanay,01082,Chanay,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,12.0,20.0,36.0,28.0,28.0,28.0,36.0,40.0
74,Chaneins,01083,Chaneins,200069193,Communauté de communes de la Dombes,1,84,28.0,20.0,28.0,32.0,20.0,52.0,25.0,61.0
75,Chanoz-Châtenay,01084,Chanoz-Châtenay,200070555,Communauté de communes de la Veyle,1,84,52.0,25.0,28.0,56.0,28.0,66.0,74.0,50.0
76,La Chapelle-du-Châtelard,01085,La Chapelle-du-Châtelard,200069193,Communauté de communes de la Dombes,1,84,4.0,5.0,12.0,20.0,8.0,26.0,25.0,19.0
77,Charix,01087,Charix,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,15.0,8.0,12.0,16.0,16.0,24.0,15.0
78,Charnoz-sur-Ain,01088,Charnoz-sur-Ain,240100883,Communauté de communes de la Plaine de l'Ain,1,84,0.0,10.0,8.0,32.0,0.0,8.0,20.0,56.0
79,Château-Gaillard,01089,Château-Gaillard,240100883,Communauté de communes de la Plaine de l'Ain,1,84,12.0,15.0,16.0,44.0,36.0,88.0,110.0,125.0
80,Châtenay,01090,Châtenay,200069193,Communauté de communes de la Dombes,1,84,8.0,20.0,8.0,20.0,12.0,24.0,25.0,15.0
81,Châtillon-la-Palud,01092,Châtillon-la-Palud,200069193,Communauté de communes de la Dombes,1,84,40.0,30.0,72.0,96.0,76.0,84.0,137.0,100.0
82,Châtillon-sur-Chalaronne,01093,Châtillon-sur-Chalaronne,200069193,Communauté de communes de la Dombes,1,84,232.0,235.0,328.0,464.0,420.0,662.0,629.0,804.0
83,Chavannes-sur-Reyssouze,01094,Chavannes-sur-Reyssouze,200071371,Communauté de communes Bresse et Saône,1,84,56.0,50.0,100.0,56.0,52.0,104.0,76.0,61.0
84,Nivigne et Suran,01095,Nivigne et Suran,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,24.0,25.0,32.0,24.0,40.0,28.0,45.0,39.0
85,Chaveyriat,01096,Chaveyriat,200070555,Communauté de communes de la Veyle,1,84,36.0,30.0,68.0,68.0,44.0,60.0,44.0,47.0
86,Chazey-Bons,01098,Chazey-Bons,200040350,Communauté de communes Bugey Sud,1,84,12.0,25.0,52.0,36.0,56.0,40.0,72.0,107.0
87,Chazey-sur-Ain,01099,Chazey-sur-Ain,240100883,Communauté de communes de la Plaine de l'Ain,1,84,40.0,45.0,56.0,84.0,52.0,83.0,92.0,100.0
88,Cheignieu-la-Balme,01100,Cheignieu-la-Balme,200040350,Communauté de communes Bugey Sud,1,84,8.0,5.0,16.0,12.0,16.0,24.0,20.0,20.0
89,Chevillard,01101,Chevillard,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,20.0,12.0,24.0,8.0,8.0,25.0,15.0
90,Chevroux,01102,Chevroux,200071371,Communauté de communes Bresse et Saône,1,84,8.0,45.0,48.0,36.0,28.0,68.0,44.0,67.0
91,Chevry,01103,Chevry,240100750,Communauté d'agglomération du Pays de Gex,1,84,16.0,25.0,16.0,52.0,28.0,36.0,30.0,96.0
92,Chézery-Forens,01104,Chézery-Forens,240100750,Communauté d'agglomération du Pays de Gex,1,84,36.0,20.0,28.0,32.0,16.0,41.0,10.0,5.0
93,Civrieux,01105,Civrieux,200042497,Communauté de communes Dombes Saône Vallée,1,84,20.0,15.0,44.0,52.0,24.0,64.0,49.0,70.0
94,Cize,01106,Cize,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,0.0,15.0,16.0,28.0,12.0,24.0,30.0,10.0
95,Cleyzieu,01107,Cleyzieu,240100883,Communauté de communes de la Plaine de l'Ain,1,84,0.0,5.0,16.0,16.0,8.0,12.0,10.0,19.0
96,Coligny,01108,Coligny,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,120.0,75.0,140.0,156.0,172.0,208.0,199.0,204.0
97,Collonges,01109,Collonges,240100750,Communauté d'agglomération du Pays de Gex,1,84,24.0,50.0,56.0,48.0,96.0,80.0,60.0,75.0
98,Colomieu,01110,Colomieu,200040350,Communauté de communes Bugey Sud,1,84,8.0,5.0,16.0,8.0,20.0,4.0,5.0,10.0
99,Conand,01111,Conand,240100883,Communauté de communes de la Plaine de l'Ain,1,84,4.0,20.0,8.0,12.0,4.0,8.0,5.0,10.0
100,Condamine,01112,Condamine,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,8.0,5.0,12.0,8.0,20.0,24.0,15.0,10.0
101,Condeissiat,01113,Condeissiat,200069193,Communauté de communes de la Dombes,1,84,28.0,40.0,52.0,52.0,24.0,48.0,90.0,70.0
102,Confort,01114,Confort,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,52.0,45.0,68.0,64.0,72.0,84.0,104.0,120.0
103,Confrançon,01115,Confrançon,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,24.0,35.0,24.0,60.0,52.0,85.0,70.0,48.0
104,Contrevoz,01116,Contrevoz,200040350,Communauté de communes Bugey Sud,1,84,24.0,25.0,40.0,28.0,44.0,28.0,63.0,110.0
105,Conzieu,01117,Conzieu,200040350,Communauté de communes Bugey Sud,1,84,0.0,0.0,8.0,8.0,16.0,8.0,5.0,5.0
106,Corbonod,01118,Corbonod,200070852,Communauté de communes Usses et Rhône,1,84,56.0,85.0,112.0,148.0,120.0,129.0,122.0,147.0
